season,episode,title,location,has_coords,found,match_method,match_score,video_title,video_url
15,3,Bodies in the Dunes,"Allasdale, Barra, Western Isles",True,True,season/episode,1.0,"Bodies In The Dunes (Full Episode) | S15 EP3 | Time Team (Barra, Outer Hebrides)",https://www.youtube.com/watch?v=hD7ZGLNUydc
15,4,The Naughty Nuns of Northampton,"Towcester, Northamptonshire",True,False,,0.484,,
15,5,Mysteries of the Mosaic,"Coberley, Gloucestershire",True,True,season/episode,1.0,"Mysteries Of The Mosaic (Full Episode) | S15 EP5 | Time Team (Coberley, Gloucestershire)",https://www.youtube.com/watch?v=3nobycsKBCs
15,6,Blitzkrieg on Shooter's Hill,South London,True,True,season/episode,1.0,Blitzkrieg on Shooter's Hill (Full Episode) | S15 EP6 | Time Team (South London),https://www.youtube.com/watch?v=_2ieDurqaVs
15,7,Keeping up with the Georgians,"Hunstrete, Somerset",True,True,season/episode,1.0,"Keeping Up With The Georgians (Full Episode) | S15 EP7 | Time Team (Hunstrete, Somerset)",https://www.youtube.com/watch?v=XvEV9VFGe8Y
15,8,Saxons on the Edge,"Stonton Wyville, Leicestershire",True,True,season/episode,1.0,"Saxons On The Edge (Full Episode) | S15 EP8 | Time Team (Knave Hill, Leicestershire)",https://www.youtube.com/watch?v=u2UWHtQcDKk
15,9,Fort of the Earls,"Dungannon, Northern Ireland",True,True,season/episode,1.0,"Fort Of The Earls (Full Episode) | S15 EP9 | Time Team (Dungannon, Northern Ireland)",https://www.youtube.com/watch?v=AC3KP8E0BEY
15,10,From Constantinople to Cornwall,"Padstow, North Cornwall",True,True,season/episode,1.0,"From Constantinople to Cornwall (Full Episode) | S15 EP10 | Time Team (Padstow, Cornwall)",https://www.youtube.com/watch?v=hXMlmPsFfo8
15,11,Five Thousand Tons of Stone,"Hamsterley, County Durham",True,True,season/episode,0.286,"5,000 Tonnes of Stone (Full Episode) | S15 EP11 | Time Team (Hamsterley, County Durham)",https://www.youtube.com/watch?v=KVzAeLFfwUQ
15,12,The Romans Recycle,"Wickenby, Lincolnshire",True,True,season/episode,1.0,"The Romans Recycle (Full Episode) | S15 EP12 | Time Team (Wickenby, Lincolnshire)",https://www.youtube.com/watch?v=sFNYntf0f1Q
15,13,Hunting King Harold,"Portskewett, Monmouthshire",True,True,season/episode,1.0,"Hunting King Harold (Full Episode) | S15 EP13 | Time Team (Portskewett, South Wales)",https://www.youtube.com/watch?v=afCFsm_gg9Y
16,1,The Trouble with Temples,"Friar's Wash, Hertfordshire",True,True,season/episode,1.0,"The Trouble With Temples (Full Episode) | S16 EP1 | Time Team (Friar’s Wash, Hertfordshire)",https://www.youtube.com/watch?v=pl1qVxUubIk
16,2,The Wedding Present,"Scargill, County Durham",True,True,season/episode,1.0,"The Wedding Present (Full Episode) | S16 EP2 | Time Team (Scargill Castle, County Durham)",https://www.youtube.com/watch?v=TVg2SJTzOko
16,3,Heroes' Hill,"Knockdhu, County Antrim",True,True,season/episode,1.0,"Heroes' Hill (Full Episode) | S16 EP3 | Time Team (Knockdhu, Co Antrim)",https://www.youtube.com/watch?v=elqstC4JnWw
16,4,Toga Town,"Caerwent, Monmouthshire",True,True,season/episode,1.0,"Toga Town (Full Episode) | S16 EP4 | Time Team (Caerwent, Monmouthshire)",https://www.youtube.com/watch?v=Q5wbyvYDdrU
16,5,"Blood, Sweat and Beers","Rise Hill, Cumbria",True,True,season/episode,1.0,"Blood, Sweat and Beers (Full Episode) | S16 EP5 | Time Team (Rise Hill, Cumbria)",https://www.youtube.com/watch?v=wSl1UGTFuXg
16,6,Buried Bishops and Belfries,"Salisbury Cathedral, Wiltshire",True,True,season/episode,1.0,"Buried Bishops and Belfries (Full Episode) | S16 EP6 | Time Team (Salisbury Cathedral, Wiltshire)",https://www.youtube.com/watch?v=AHAVcf1kyV0
16,7,Anarchy in the UK,"Radcot, Oxfordshire",True,True,season/episode,1.0,"Anarchy in the UK (Full Episode) | S16 EP7 | Time Team (Radcot, Oxfordshire)",https://www.youtube.com/watch?v=8c74r2Mv1ws
16,8,Mystery of the Ice Cream Villa,"Colworth, Bedfordshire",True,True,season/episode,1.0,"Mystery of the Ice Cream Villa (Full Episode) | S16 EP8 | Time Team (Colworth, Bedfordshire)",https://www.youtube.com/watch?v=5W4b0u3_PZY
16,9,Hermit Harbour,"Looe, Cornwall",True,True,season/episode,1.0,"Hermit Harbour (Full Episode) | S16 EP9 | Time Team (Looe, Cornwall)",https://www.youtube.com/watch?v=s0TVoeGdlTc
16,10,Called to the Bar,"Lincoln's Inn, London",True,True,season/episode,1.0,"Called to the Bar (Full Episode) | S16 EP10 | Time Team (Lincoln’s Inn, London)",https://www.youtube.com/watch?v=Bkbob3qcNw8
16,11,Beacon on the Fens,"Chapel Head, Cambridgeshire",True,True,season/episode,1.0,"Beacon on the Fens (Full Episode) | S16 EP11 | Time Team (Chapel Head, Cambridgeshire)",https://www.youtube.com/watch?v=PUfW6BWBIjU
16,12,The Hollow Way,"Ulnaby, County Durham",True,True,season/episode,1.0,"The Hollow Way (Full Episode) | S16 EP12 | Time Team (Ulnaby, County Durham)",https://www.youtube.com/watch?v=dBg79tFmpO0
16,13,Skeletons in the Shed,"Blythburgh, Suffolk",True,True,season/episode,1.0,"Skeletons in the Shed (Full Episode) | S16 EP13 | Time Team (Blythburgh, Suffolk)",https://www.youtube.com/watch?v=NhRAnCR1RsU
17,1,Corridors Of Power,"Westminster Abbey, London",True,True,season/episode,1.0,Corridors Of Power (Full Episode) | S17 EP1 | Time Team (Westminster),https://www.youtube.com/watch?v=z-1v_xUEySE
17,2,A Saintly Site,"Isle of Mull, Inner Hebrides",True,True,season/episode,1.0,"A Saintly Site (Full Episode) | S17 EP2 | Time Team (Tobermory, Isle of Mull)",https://www.youtube.com/watch?v=uNSFPAprEpc
17,3,Bridge Over The River Tees,"Piercebridge, County Durham",True,True,season/episode,1.0,"Bridge Over The River Tees (Full Episode) | S17 EP3 | Time Team (Piercebridge, County Durham)",https://www.youtube.com/watch?v=jE8EbufmLNE
17,4,In The Halls Of A Saxon King,"Sutton Courtenay, Oxfordshire(actually Drayton, Oxfordshire)",True,True,season/episode,1.0,In The Halls Of A Saxon King (Full Episode) | S17 EP4 | Time Team (Sutton Courtenay),https://www.youtube.com/watch?v=0dBUhjQOhtk
