video_id,name,address,maps_url,lat,lng
TZzG9fCKgCw,Chinese Restaurant Panda,"Ho 76-5 Mukaimotori-machi, Komatsu, Ishikawa",https://maps.app.goo.gl/pYZfKb5CjEGLdyP79,,
jRN6brqdM88,Spaghets Dandy,"Shimo Ishii 2-9-52, Kita-ku, Okayama-shi, Okayama",https://goo.gl/maps/rPRA3UnEnqzMzuRi9,,
jRN6brqdM88,Ginshari en,"3-1-9 Higashi Ebisu-cho, Sakai-ku, Sakai-shi, Osaka",https://maps.app.goo.gl/7fbnubWwic6JKcYw8,,
jRN6brqdM88,Negian Kamiyacho,"Hiroshima Motomachi NS Building, 13-13 Motomachi, Naka-ku, Hiroshima City, Hiroshima Prefecture",https://maps.app.goo.gl/3A82DFmPWXWZehem7,,
jRN6brqdM88,Katsudon Daiki Osu Branch,"3-28-11 Osu, Naka-ku, Nagoya, Aichi Prefecture",https://maps.app.goo.gl/nd2PJMd5ZxiaoKWq7,,
Y8DNpsspans,Wada Izumi Honten (Moriyama),"5th Sun Heights Omori, 1606 Wakida-cho, Moriyama-ku, Nagoya, Aichi Prefecture",https://maps.app.goo.gl/obxvL8TYg7RTFHYQ8,,
rL3DLEq_nRU,Steak & Hamburger Maedatei Kazo,"1-6-49 Atago, Kazo City, Saitama Prefecture",https://maps.app.goo.gl/GXWBvSn2DASAKqz28,,
8OQohuN6Jbs,Ryu Ramen (Cafeteria inside Saga Racecourse),"3256-228 Ejima-cho, Tosu City, Saga Prefecture",https://maps.app.goo.gl/1CRxHEfSTSVSRuPo8,,
qsQSeAaxd3E,"Chinese Soba Noodles - One Day, One Life","3-2-12 Yokogawa-cho, Nishi-ku, Hiroshima City, Hiroshima Prefecture",https://maps.app.goo.gl/HwXES6fGoQ2beZXi9,,
mq2b-CtZ_xQ,Market Restaurant Nishimura Shoten,"2-7-20 Kuzushima, Kochi City, Kochi Prefecture",https://maps.app.goo.gl/iWwGgU5rbjR3uuSR6,,
swuz4RuFxg8,Hon Teuchi Udon Shoji,"743-9 Kami-Ikusa, Kawashima-cho, Hiki-gun, Saitama",https://maps.app.goo.gl/EPhGhWDpBwP8tntQ6,,
LhRY-_P1uzc,Chinese Restaurant Ron,"Shinzaike 3-285-2, Hiraoka-cho, Kakogawa-shi, Hyogo",https://goo.gl/maps/BU2G7peVmYpSZFXz6,,
