video_url,title,location,lat,lng,season,episode
https://www.youtube.com/watch?v=beKQF02f9RQ,"Mystery Of The Ice Cream Villa (Full Episode) | S16 EP8 | Time Team (Colworth, Bedfordshire)","Colworth, Bedfordshire",,,16,8
https://www.youtube.com/watch?v=1SH8gmE9JDM,"Picts And Hermits (Full Episode) | S12 EP8 | Time Team (Wemyss, Fife)","Wemyss, Fife",,,12,8
https://www.youtube.com/watch?v=yCokMXCER_g,"Nuns in Northumbria (Full Episode) | S7 EP12 | Time Team (Hartlepool, County Durham)","Hartlepool, County Durham",,,7,12
https://www.youtube.com/watch?v=ygdMbhk7iXo,"Anarchy In The UK (Full Episode) | S16 EP7 | Time Team (Radcot, Oxfordshire)","Radcot, Oxfordshire",,,16,7
https://www.youtube.com/watch?v=TpVKVwgBsAE,"Going Upmarket With The Romans (Full Episode) | S12 EP7 | Time Team (Standish, Gloucestershire)","Standish, Gloucestershire",,,12,7
https://www.youtube.com/watch?v=flv_9l4JCuo,"A Waltham Villa (Full Episode) | S8 EP4 | Time Team (Waltham Field, Whittington)","Waltham Field, Whittington",,,8,4
https://www.youtube.com/watch?v=O6T_fKNPwJ0,Buried Bishops And Belfries (Full Episode) | S16 EP6 | Time Team (Salisbury Cathedral),Salisbury Cathedral,,,16,6
https://www.youtube.com/watch?v=XHZGN5L2zRA,"In Search Of Henry V’s Flagship (Full Episode) | S12 EP6 | Time Team (Grace Dieu, Hampshire)","Grace Dieu, Hampshire",,,12,6
https://www.youtube.com/watch?v=C-cwSxc5-xk,"The Celtic Spring (Full Episode) | S8 EP3 | Time Team (Llygadwy, Powys)","Llygadwy, Powys",,,8,3
https://www.youtube.com/watch?v=vhlUeJGn26I,"Blood, Sweat and Beers (Full Episode) | S16 EP5 | Time Team (Rise Hill, Cumbria)","Rise Hill, Cumbria",,,16,5
https://www.youtube.com/watch?v=PTDlKhS9I3c,"A Neolithic Cathedral? (Full Episode) | S12 EP5 | Time Team (Northborough, Peterborough)","Northborough, Peterborough",,,12,5
https://www.youtube.com/watch?v=NIi6iMinOug,"The Roman Bathhouse (Full Episode) | S6 EP7 | Time Team (Beauport Park, East Sussex)","Beauport Park, East Sussex",,,6,7
https://www.youtube.com/watch?v=OtcLi0h3tg8,"Toga Town (Full Episode) | S16 EP4 | Time Team (Caerwent, Monmouthshire)","Caerwent, Monmouthshire",,,16,4
https://www.youtube.com/watch?v=0zZHAitHQWQ,"Fighting On The Frontier (Full Episode) | S12 EP4 | Time Team (Drumlanrig, Dumfries)","Drumlanrig, Dumfries",,,12,4
https://www.youtube.com/watch?v=9hs674DnvmM,"A Palace Sold for Scrap (Full Episode) | S8 EP6 | Time Team (Thame, Oxfordshire)","Thame, Oxfordshire",,,8,6
https://www.youtube.com/watch?v=CCuLJzmw7s4,"Heroes' Hill (Full Episode) | S16 EP3 | Time Team (Knockdhu, County Antrim)","Knockdhu, County Antrim",,,16,3
https://www.youtube.com/watch?v=wx6n3hJJxBM,"The Bombers in the Marsh (Full Episode) | S12 EP3 | Time Team (Warton, Lancashire)","Warton, Lancashire",,,12,3
https://www.youtube.com/watch?v=bssVE1F896Y,Nevis: Part 1 (Full Episode) | S6 EP12 | Time Team (Saint Kitts and Nevis),Saint Kitts and Nevis,,,6,12
https://www.youtube.com/watch?v=J55ggoJwRTQ,"The Wedding Present (Full Episode) | S16 EP2 | Time Team (Scargill Castle, County Durham)","Scargill Castle, County Durham",,,16,2
https://www.youtube.com/watch?v=JfMD0kOkZto,"The Monastery and the Mansion (Full Episode) | S12 EP2 | Time Team (Nether Poppleton, Yorkshire)","Nether Poppleton, Yorkshire",,,12,2
https://www.youtube.com/watch?v=g6mnleThc_M,"A View to a Kiln (Full Episode) | S10 EP12 | Full Episode | Time Team (Sedgefield, County Durham)","Sedgefield, County Durham",,,10,12
https://www.youtube.com/watch?v=j4Js77gGJ4w,"The Trouble With Temples (Full Episode) | S16 EP1 | Time Team (Friar’s Wash, Hertfordshire)","Friar’s Wash, Hertfordshire",,,16,1
https://www.youtube.com/watch?v=kdaW5YgoTv8,The Manor That's Back to Front (Full Episode) | S12 EP1 | Time Team (Chenies Manor),Chenies Manor,,,12,1
https://www.youtube.com/watch?v=OhtdiyqvytI,"London's First Bridge (Full Episode) | S9 EP1 | Time Team (Vauxhall, London)","Vauxhall, London",,,9,1
https://www.youtube.com/watch?v=afCFsm_gg9Y,"Hunting King Harold (Full Episode) | S15 EP13 | Time Team (Portskewett, South Wales)","Portskewett, South Wales",,,15,13
https://www.youtube.com/watch?v=HQOaagcpeUQ,"Romans On The Range (Full Episode) | S18 EP11 | Time Team (Purlieus Wood, Cambridgeshire)","Purlieus Wood, Cambridgeshire",,,18,11
https://www.youtube.com/watch?v=ayykqgn0nMU,Looking for the White House (Full Episode) | S10 EP9 | Time Team (Kew Gardens),Kew Gardens,,,10,9
https://www.youtube.com/watch?v=sFNYntf0f1Q,"The Romans Recycle (Full Episode) | S15 EP12 | Time Team (Wickenby, Lincolnshire)","Wickenby, Lincolnshire",,,15,12
https://www.youtube.com/watch?v=P3Phc0r441Q,"Search For the Domesday Mill (Full Episode) | S18 EP10 | Time Team (Buck Mill, Somerset)","Buck Mill, Somerset",,,18,10
https://www.youtube.com/watch?v=sf8Qdy2gWxg,"Diving for the Armada (Full Episode) | S9 EP3 | Time Team (Kinlochbervie, Sutherland)","Kinlochbervie, Sutherland",,,9,3
https://www.youtube.com/watch?v=KVzAeLFfwUQ,"5,000 Tonnes of Stone (Full Episode) | S15 EP11 | Time Team (Hamsterley, County Durham)","Hamsterley, County Durham",,,15,11
https://www.youtube.com/watch?v=myzJiQiulsI,"Mystery of the Manor Moat (Full Episode) | S18 EP9 | Time Team (Llancaiach Fawr, South Wales)","Llancaiach Fawr, South Wales",,,18,9
